idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-54275 RRab 0 0 0 0 0 0 0 1 0 1 0.0906817458505625 NonS
1-54305 EC 0 0 1 0 0 0 0 0 0 1 1.17242023172524 NonS
1-54444 CC 1 0 0 0 0 0 0 0 0 1 4.94841883837524 NonS
1-54862 CC 1 0 0 0 0 0 0 0 0 1 4.25717629554233 NonS
1-54895 RRab 0 0 0 0 0 0 0 1 0 1 0.0508783845831333 NonS
1-55373 EC 0 0 1 0 0 0 0 0 0 1 31.171490287933 NonS
1-55436 EC 0 0 1 0 0 0 0 0 0 1 2.06450162289204 NonS
1-55530 LPV 0 0 0 1 0 0 0 0 0 1 34.9088456234471 NonS
1-55689 CC 1 0 0 0 0 0 0 0 0 1 2.13259295534911 OverS
1-55856 CC 1 0 0 0 0 0 0 0 0 1 3.76207641406088 NonS
1-56290 CC 1 0 0 0 0 0 0 0 0 1 1.63106635227557 NonS
1-56344 CC 1 0 0 0 0 0 0 0 0 1 5.2508125351331 NonS
1-56800 RRab 0 0 0 0 0 0 0 1 0 1 0.0206868347766409 NonS
1-56947 RRab 0 0 0 0 0 0 0 1 0 1 0.0314878683941793 NonS
